Yoast SEO,https://ru.wordpress.org/plugins/wordpress-seo/,Улучшите SEO вашего WordPress: поработайте над качеством контента и получите полностью оптимизированный WordPress-сайт с помощью…,5+ млн активных установок,"['Протестирован', 'с', '6.2']"
Контактные формы WPForms — конструктор форм для WordPress с возможностью перетаскивания полей,https://ru.wordpress.org/plugins/wpforms-lite/,The best WordPress contact form plugin. Drag & Drop online form builder to create beautiful…,5+ млн активных установок,"['Протестирован', 'с', '6.2']"
"Jetpack предназначен для защиты, резервного копирования, повышения скорости работы и развития вашего сайта WordPress",https://ru.wordpress.org/plugins/jetpack/,"Обеспечьте дополнительную защиту сайта WordPress с помощью простых, но эффективных инструментов: резервного копирования и проверки…",5+ млн активных установок,"['Протестирован', 'с', '6.2']"
Advanced Editor Tools,https://ru.wordpress.org/plugins/tinymce-advanced/,Расширяет и улучшает редактор блоков (Gutenberg) и классический редактор (TinyMCE).,2+ млн активных установок,"['Протестирован', 'с', '6.2']"
MC4WP: Mailchimp for WordPress,https://ru.wordpress.org/plugins/mailchimp-for-wp/,The #1 (unofficial) Mailchimp plugin. Allows you to add various sign-up methods to your WordPress…,2+ млн активных установок,"['Протестирован', 'с', '6.2']"
Rank Math SEO,https://ru.wordpress.org/plugins/seo-by-rank-math/,"Rank Math SEO — лучший WordPress SEO плагин, сочетающий в себе функции многих SEO инструментов…",1+ млн активных установок,"['Протестирован', 'с', '6.2']"
"Smush — Lazy Load Images, Optimize & Compress Images",https://ru.wordpress.org/plugins/wp-smushit/,"Сжимайте изображения и оптимизируйте изображения с помощью отложенной загрузки, преобразования WebP и определения размера, чтобы…",1+ млн активных установок,"['Протестирован', 'с', '6.2']"
Smash Balloon Social Photo Feed,https://ru.wordpress.org/plugins/instagram-feed/,Ранее плагин назывался «Instagram Feed». Аккуратное отображение постов из нескольких учетных записей Instagram в виде…,1+ млн активных установок,"['Протестирован', 'с', '6.2']"
Redux Framework,https://ru.wordpress.org/plugins/redux-framework/,"Redux is a simple, truly extensible and fully responsive options framework for WordPress themes and…",1+ млн активных установок,"['Протестирован', 'с', '6.2']"
Ninja Forms Contact Form — The Drag and Drop Form Builder for WordPress,https://ru.wordpress.org/plugins/ninja-forms/,"Конструктор форм WordPress, удобный для новичков. Тащи-и-бросай поля формы, чтобы создать красивые профессиональные контактные формы…",900 000+ активных установок,"['Протестирован', 'с', '6.2.0']"
Smart Slider 3,https://ru.wordpress.org/plugins/smart-slider-3/,"Плагин адаптивного слайдера для простого создания слайдов в визуальном редакторе. Создавайте красивые слайдеры изображений, слоёв,…",900 000+ активных установок,"['Протестирован', 'с', '6.1.1']"
The Events Calendar,https://ru.wordpress.org/plugins/the-events-calendar/,Календарь мероприятий — это плагин календаря номер один для WordPress. Легко создавайте и управляйте мероприятиями…,800 000+ активных установок,"['Протестирован', 'с', '6.2']"
Плагин Шорткодов для WordPress — Shortcodes Ultimate,https://ru.wordpress.org/plugins/shortcodes-ultimate/,Обширная коллекция визуальных компонентов для вашего сайта,700 000+ активных установок,"['Протестирован', 'с', '6.2']"
"Slider, Gallery, and Carousel by MetaSlider — Responsive WordPress Slideshows",https://ru.wordpress.org/plugins/ml-slider/,"The best slider, gallery, and carousel plugin for WordPress. Responsive and easy-to-use sliders with images,…",700 000+ активных установок,"['Протестирован', 'с', '6.2']"
MailPoet — письма и рассылки в WordPress,https://ru.wordpress.org/plugins/mailpoet/,"Отправляйте прекрасные рассылки из WordPress. Собирайте подписчиков с помощью форм подписки, автоматизируйте письма для WooCommerce,…",600 000+ активных установок,"['Протестирован', 'с', '6.1.1']"
Complianz — GDPR/CCPA Cookie Consent,https://ru.wordpress.org/plugins/complianz-gdpr/,"Configure your Cookie Banner, Cookie Consent and Cookie Policy with our Wizard and Cookie Scan.…",600 000+ активных установок,"['Протестирован', 'с', '6.2']"
WordPress Gallery Plugin — NextGEN Gallery,https://ru.wordpress.org/plugins/nextgen-gallery/,Самый популярный плагин WordPress для галерей и один из самых загружаемых плагинов за всю историю…,600 000+ активных установок,"['Протестирован', 'с', '6.1.1']"
Page Builder Gutenberg Blocks – CoBlocks,https://ru.wordpress.org/plugins/coblocks/,"CoBlocks — это набор блоков WordPress для конструктора страниц для Gutenberg, с более чем 10…",500 000+ активных установок,"['Протестирован', 'с', '6.2']"
Spectra — WordPress Gutenberg Blocks,https://ru.wordpress.org/plugins/ultimate-addons-for-gutenberg/,"Усиление Gutenberg’а продвинутыми блоками, помогающими создавать сайты в кратчайшие сроки! Это первый плагин Gutenberg созданный…",500 000+ активных установок,"['Протестирован', 'с', '6.2']"
AMP,https://ru.wordpress.org/plugins/amp/,An easier path to great Page Experience for everyone. Powered by AMP.,400 000+ активных установок,"['Протестирован', 'с', '6.2']"
"Forminator — Contact Form, Payment Form & Custom Form Builder",https://ru.wordpress.org/plugins/forminator/,"Лучший плагин для создания форм WordPress. Создавайте контактные формы, формы оплаты и формы заказов с…",400 000+ активных установок,"['Протестирован', 'с', '6.2']"
"Formidable Forms — Contact Form, Survey, Quiz, Calculator & Custom Form Builder",https://ru.wordpress.org/plugins/formidable/,The most advanced WordPress forms plugin. Go beyond contact forms with our drag and drop…,300 000+ активных установок,"['Протестирован', 'с', '6.2']"
Gutenberg Blocks by Kadence Blocks – Page Builder Features,https://ru.wordpress.org/plugins/kadence-blocks/,Custom Blocks for Gutenberg to help extend the editing capabilities.,300 000+ активных установок,"['Протестирован', 'с', '6.2']"
"HubSpot — CRM, Email Marketing, Live Chat, Forms & Analytics",https://ru.wordpress.org/plugins/leadin/,"Capture, organize and engage web visitors with free live chat, forms, CRM (contact management), email…",300 000+ активных установок,"['Протестирован', 'с', '6.2']"
Otter — Gutenberg Blocks – Page Builder for Gutenberg Editor & FSE,https://ru.wordpress.org/plugins/otter-blocks/,Otter is a dynamic collection of page building blocks and templates for the WordPress Gutenberg…,300 000+ активных установок,"['Протестирован', 'с', '6.2']"
Orbit Fox от ThemeIsle,https://ru.wordpress.org/plugins/themeisle-companion/,"Этот плагин швейцарский нож, поставляется с качественной библиотекой шаблонов, модулями меню/значков общего доступа, блоками Gutenberg…",300 000+ активных установок,"['Протестирован', 'с', '6.2']"
"Popup Builder — Create highly converting, mobile friendly marketing popups.",https://ru.wordpress.org/plugins/popup-builder/,"Увеличьте продажи и конверсию, определите круг потенциальных потребителей и получите хороший призыв к действию с…",300 000+ активных установок,"['Протестирован', 'с', '6.1.1']"
Photo Gallery by 10Web — Mobile-Friendly Image Gallery,https://ru.wordpress.org/plugins/photo-gallery/,Photo Gallery — это мощный плагин галереи изображений со списком расширенных параметров для создания адаптивных…,200 000+ активных установок,"['Протестирован', 'с', '6.2']"
SEOPress — On-site SEO,https://ru.wordpress.org/plugins/wp-seopress/,"SEOPress, простой, быстрый и мощный SEO плагин для WordPress. Повышение рейтинга в поисковых системах, полностью…",200 000+ активных установок,"['Протестирован', 'с', '6.2']"
"Embed Plus YouTube WordPress Plugin With YouTube Gallery, Channel, Playlist, Live Stream",https://ru.wordpress.org/plugins/youtube-embed-plus/,"YouTube Embed WordPress Plugin. Embed a responsive video, YouTube channel gallery, playlist gallery, YouTube livestream.…",200 000+ активных установок,"['Протестирован', 'с', '6.2']"
Fonts Plugin | Google Fonts Typography,https://ru.wordpress.org/plugins/olympus-google-fonts/,Самый простой в использовании плагин Google Fonts. Кодирования не требуется. Оптимизирован для скорости. Более 1000…,200 000+ активных установок,"['Протестирован', 'с', '6.2']"
Дублировать запись,https://ru.wordpress.org/plugins/copy-delete-posts/,Дублировать запись,200 000+ активных установок,"['Протестирован', 'с', '6.2']"
Best WordPress Gallery Plugin – FooGallery,https://ru.wordpress.org/plugins/foogallery/,Лучший плагин галереи WordPress. Создавайте потрясающие галереи за считанные минуты с расширенными настройками для полной…,200 000+ активных установок,"['Протестирован', 'с', '6.2']"
Smash Balloon Social Post Feed,https://ru.wordpress.org/plugins/custom-facebook-feed/,"Formerly ""Custom Facebook Feed"". Display completely customizable Facebook feeds of a Facebook page or Group.…",100 000+ активных установок,"['Протестирован', 'с', '6.2']"
Gallery Plugin for WordPress — Envira Photo Gallery,https://ru.wordpress.org/plugins/envira-gallery-lite/,"Галерея Envira самый быстрый, самый простой в использовании плагин WordPress галереи изображений. Lightbox с Drag…",100 000+ активных установок,"['Протестирован', 'с', '6.2.0']"
WooCommerce Blocks,https://ru.wordpress.org/plugins/woo-gutenberg-products-block/,WooCommerce Blocks это наиболее простой и гибкий инструмент для отображения ваших товаров прямо в содержимом…,100 000+ активных установок,"['Протестирован', 'с', '6.2']"
Layout Grid Block,https://ru.wordpress.org/plugins/layout-grid/,Контейнерный блок Gutenberg позволяет единообразно выравнивать элементы по глобальной сетке.,100 000+ активных установок,"['Протестирован', 'с', '5.9.5']"
Social Icons Widget & Block by WPZOOM,https://ru.wordpress.org/plugins/social-icons-widget-by-wpzoom/,Виджет и блок значков соцсетей помогает добавлять значки со ссылками на профили социальных сетей на…,100 000+ активных установок,"['Протестирован', 'с', '6.2']"
GiveWP — Donation Plugin and Fundraising Platform,https://ru.wordpress.org/plugins/give/,"Принимайте пожертвования и начинайте сбор средств с помощью GiveWP, плагина для пожертвований WordPress с самым…",100 000+ активных установок,"['Протестирован', 'с', '6.2']"
Custom Twitter Feeds (Tweets Widget),https://ru.wordpress.org/plugins/custom-twitter-feeds/,"As of April 3rd, 2023 this plugin is not able to retrieve Tweets from Twitter's…",100 000+ активных установок,"['Протестирован', 'с', '6.2']"
"Forminator — Contact Form, Payment Form & Custom Form Builder",https://ru.wordpress.org/plugins/forminator/,"Лучший плагин для создания форм WordPress. Создавайте контактные формы, формы оплаты и формы заказов с…",400 000+ активных установок,"['Протестирован', 'с', '6.2']"
"Formidable Forms — Contact Form, Survey, Quiz, Calculator & Custom Form Builder",https://ru.wordpress.org/plugins/formidable/,The most advanced WordPress forms plugin. Go beyond contact forms with our drag and drop…,300 000+ активных установок,"['Протестирован', 'с', '6.2']"
Gutenberg Blocks by Kadence Blocks – Page Builder Features,https://ru.wordpress.org/plugins/kadence-blocks/,Custom Blocks for Gutenberg to help extend the editing capabilities.,300 000+ активных установок,"['Протестирован', 'с', '6.2']"
"HubSpot — CRM, Email Marketing, Live Chat, Forms & Analytics",https://ru.wordpress.org/plugins/leadin/,"Capture, organize and engage web visitors with free live chat, forms, CRM (contact management), email…",300 000+ активных установок,"['Протестирован', 'с', '6.2']"
Otter — Gutenberg Blocks – Page Builder for Gutenberg Editor & FSE,https://ru.wordpress.org/plugins/otter-blocks/,Otter is a dynamic collection of page building blocks and templates for the WordPress Gutenberg…,300 000+ активных установок,"['Протестирован', 'с', '6.2']"
Orbit Fox от ThemeIsle,https://ru.wordpress.org/plugins/themeisle-companion/,"Этот плагин швейцарский нож, поставляется с качественной библиотекой шаблонов, модулями меню/значков общего доступа, блоками Gutenberg…",300 000+ активных установок,"['Протестирован', 'с', '6.2']"
"Popup Builder — Create highly converting, mobile friendly marketing popups.",https://ru.wordpress.org/plugins/popup-builder/,"Увеличьте продажи и конверсию, определите круг потенциальных потребителей и получите хороший призыв к действию с…",300 000+ активных установок,"['Протестирован', 'с', '6.1.1']"
Photo Gallery by 10Web — Mobile-Friendly Image Gallery,https://ru.wordpress.org/plugins/photo-gallery/,Photo Gallery — это мощный плагин галереи изображений со списком расширенных параметров для создания адаптивных…,200 000+ активных установок,"['Протестирован', 'с', '6.2']"
SEOPress — On-site SEO,https://ru.wordpress.org/plugins/wp-seopress/,"SEOPress, простой, быстрый и мощный SEO плагин для WordPress. Повышение рейтинга в поисковых системах, полностью…",200 000+ активных установок,"['Протестирован', 'с', '6.2']"
"Embed Plus YouTube WordPress Plugin With YouTube Gallery, Channel, Playlist, Live Stream",https://ru.wordpress.org/plugins/youtube-embed-plus/,"YouTube Embed WordPress Plugin. Embed a responsive video, YouTube channel gallery, playlist gallery, YouTube livestream.…",200 000+ активных установок,"['Протестирован', 'с', '6.2']"
Fonts Plugin | Google Fonts Typography,https://ru.wordpress.org/plugins/olympus-google-fonts/,Самый простой в использовании плагин Google Fonts. Кодирования не требуется. Оптимизирован для скорости. Более 1000…,200 000+ активных установок,"['Протестирован', 'с', '6.2']"
Дублировать запись,https://ru.wordpress.org/plugins/copy-delete-posts/,Дублировать запись,200 000+ активных установок,"['Протестирован', 'с', '6.2']"
Best WordPress Gallery Plugin – FooGallery,https://ru.wordpress.org/plugins/foogallery/,Лучший плагин галереи WordPress. Создавайте потрясающие галереи за считанные минуты с расширенными настройками для полной…,200 000+ активных установок,"['Протестирован', 'с', '6.2']"
Smash Balloon Social Post Feed,https://ru.wordpress.org/plugins/custom-facebook-feed/,"Formerly ""Custom Facebook Feed"". Display completely customizable Facebook feeds of a Facebook page or Group.…",100 000+ активных установок,"['Протестирован', 'с', '6.2']"
Gallery Plugin for WordPress — Envira Photo Gallery,https://ru.wordpress.org/plugins/envira-gallery-lite/,"Галерея Envira самый быстрый, самый простой в использовании плагин WordPress галереи изображений. Lightbox с Drag…",100 000+ активных установок,"['Протестирован', 'с', '6.2.0']"
WooCommerce Blocks,https://ru.wordpress.org/plugins/woo-gutenberg-products-block/,WooCommerce Blocks это наиболее простой и гибкий инструмент для отображения ваших товаров прямо в содержимом…,100 000+ активных установок,"['Протестирован', 'с', '6.2']"
Layout Grid Block,https://ru.wordpress.org/plugins/layout-grid/,Контейнерный блок Gutenberg позволяет единообразно выравнивать элементы по глобальной сетке.,100 000+ активных установок,"['Протестирован', 'с', '5.9.5']"
Social Icons Widget & Block by WPZOOM,https://ru.wordpress.org/plugins/social-icons-widget-by-wpzoom/,Виджет и блок значков соцсетей помогает добавлять значки со ссылками на профили социальных сетей на…,100 000+ активных установок,"['Протестирован', 'с', '6.2']"
GiveWP — Donation Plugin and Fundraising Platform,https://ru.wordpress.org/plugins/give/,"Принимайте пожертвования и начинайте сбор средств с помощью GiveWP, плагина для пожертвований WordPress с самым…",100 000+ активных установок,"['Протестирован', 'с', '6.2']"
Custom Twitter Feeds (Tweets Widget),https://ru.wordpress.org/plugins/custom-twitter-feeds/,"As of April 3rd, 2023 this plugin is not able to retrieve Tweets from Twitter's…",100 000+ активных установок,"['Протестирован', 'с', '6.2']"
